2019-09-01 12:35:33
Running ./matvec_cuda
Run on (48 X 2494.18 MHz CPU s)
CPU Caches:
  L1 Data 32K (x24)
  L1 Instruction 32K (x24)
  L2 Unified 256K (x24)
  L3 Unified 30720K (x2)
Load Average: 0.60, 0.76, 0.65
-------------------------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations UserCounters...
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6213035 ns      6219781 ns          112 bytes_per_second=1.17004T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211322 ns      6217901 ns          112 bytes_per_second=1.1704T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211410 ns      6218134 ns          112 bytes_per_second=1.17035T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211995 ns      6218560 ns          112 bytes_per_second=1.17027T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6210915 ns      6217710 ns          112 bytes_per_second=1.17043T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6213087 ns      6219884 ns          112 bytes_per_second=1.17002T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211491 ns      6218021 ns          112 bytes_per_second=1.17037T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212566 ns      6219298 ns          112 bytes_per_second=1.17013T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6214353 ns      6220904 ns          112 bytes_per_second=1.16983T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6210188 ns      6216917 ns          112 bytes_per_second=1.17058T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6210768 ns      6217562 ns          112 bytes_per_second=1.17046T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211424 ns      6217941 ns          112 bytes_per_second=1.17039T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6210750 ns      6217449 ns          112 bytes_per_second=1.17048T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211110 ns      6217669 ns          112 bytes_per_second=1.17044T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6213178 ns      6219893 ns          112 bytes_per_second=1.17002T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211714 ns      6218508 ns          112 bytes_per_second=1.17028T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212448 ns      6219243 ns          112 bytes_per_second=1.17014T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6223476 ns      6230196 ns          112 bytes_per_second=1.16809T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212502 ns      6219026 ns          112 bytes_per_second=1.17019T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6210760 ns      6217480 ns          112 bytes_per_second=1.17048T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212898 ns      6219430 ns          112 bytes_per_second=1.17011T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212174 ns      6218971 ns          112 bytes_per_second=1.1702T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212783 ns      6219511 ns          112 bytes_per_second=1.17009T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212790 ns      6219350 ns          112 bytes_per_second=1.17012T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211982 ns      6218692 ns          112 bytes_per_second=1.17025T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212178 ns      6218719 ns          112 bytes_per_second=1.17024T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212407 ns      6219204 ns          112 bytes_per_second=1.17015T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211197 ns      6217993 ns          112 bytes_per_second=1.17038T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6213877 ns      6220438 ns          112 bytes_per_second=1.16992T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6209734 ns      6216464 ns          112 bytes_per_second=1.17067T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212134 ns      6218706 ns          112 bytes_per_second=1.17025T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211962 ns      6218758 ns          112 bytes_per_second=1.17024T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212727 ns      6219414 ns          112 bytes_per_second=1.17011T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6213358 ns      6219929 ns          112 bytes_per_second=1.17002T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211572 ns      6218317 ns          112 bytes_per_second=1.17032T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6222603 ns      6229215 ns          112 bytes_per_second=1.16827T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212407 ns      6219202 ns          112 bytes_per_second=1.17015T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211366 ns      6218087 ns          112 bytes_per_second=1.17036T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6213731 ns      6220268 ns          112 bytes_per_second=1.16995T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212024 ns      6218725 ns          112 bytes_per_second=1.17024T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212325 ns      6218912 ns          112 bytes_per_second=1.17021T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211953 ns      6218750 ns          112 bytes_per_second=1.17024T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211311 ns      6218105 ns          112 bytes_per_second=1.17036T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6213863 ns      6220429 ns          112 bytes_per_second=1.16992T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212044 ns      6218774 ns          112 bytes_per_second=1.17023T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211372 ns      6217953 ns          112 bytes_per_second=1.17039T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211041 ns      6217834 ns          112 bytes_per_second=1.17041T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left_mean        6212733 ns      6219418 ns           50 bytes_per_second=1.17011T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left_median      6212089 ns      6218754 ns           50 bytes_per_second=1.17024T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left_stddev         2941 ns         2941 ns           50 bytes_per_second=579.273M/s
