2019-09-01 12:39:07
Running ./matvec_openmp
Run on (96 X 2101 MHz CPU s)
CPU Caches:
  L1 Data 32K (x48)
  L1 Instruction 32K (x48)
  L2 Unified 1024K (x48)
  L3 Unified 33792K (x2)
Load Average: 0.00, 0.01, 0.08
***WARNING*** Library was built as DEBUG. Timings may be affected.
---------------------------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations UserCounters...
BM_MDSpan_OpenMP_MatVec/right                   349036015 ns    348202811 ns            2 bytes_per_second=214.015G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   350257036 ns    349421137 ns            2 bytes_per_second=213.269G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349702939 ns    348868187 ns            2 bytes_per_second=213.607G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   350446704 ns    349610343 ns            2 bytes_per_second=213.154G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349528834 ns    348694415 ns            2 bytes_per_second=213.714G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349872775 ns    349037394 ns            2 bytes_per_second=213.504G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349833787 ns    348998717 ns            2 bytes_per_second=213.527G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   350253197 ns    349417310 ns            2 bytes_per_second=213.271G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349278411 ns    348444559 ns            2 bytes_per_second=213.867G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349504033 ns    348669757 ns            2 bytes_per_second=213.729G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   348846302 ns    348013527 ns            2 bytes_per_second=214.132G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349576948 ns    348742547 ns            2 bytes_per_second=213.684G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349586528 ns    348751999 ns            2 bytes_per_second=213.678G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   348999320 ns    348166227 ns            2 bytes_per_second=214.038G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   348547461 ns    347715660 ns            2 bytes_per_second=214.315G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349527243 ns    348692952 ns            2 bytes_per_second=213.714G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   350440312 ns    349604081 ns            2 bytes_per_second=213.157G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349105667 ns    348272337 ns            2 bytes_per_second=213.973G/s repeats=1
